user_id,user_level
106168474,0交易达人
10650896,F级达人
108474368,F级达人
112669758,F级达人
112886447,E级达人
11506978,F级达人
116576429,F级达人
116954163,S级达人
117274671,F级达人
122679873,0交易达人
12573626,B级达人
126404884,0交易达人
126766099,F级达人
12707994,F级达人
127570797,本月新增达人
129716364,0交易达人
13010422,0交易达人
130156112,F级达人
13106787,0交易达人
134127312,F级达人
134340833,C级达人
135004172,0交易达人
138873987,0交易达人
140986958,F级达人
141512074,E级达人
141847618,0交易达人
142506108,0交易达人
142636729,F级达人
14279928,A级达人
144414723,F级达人
144460755,F级达人
14484323,D级达人
145723718,0交易达人
145850848,A级达人
149181080,0交易达人
14970112,F级达人
15233145,本月新增达人
152916102,F级达人
15354139,F级达人
155477095,C级达人
155957212,F级达人
159029329,C级达人
159108754,F级达人
159272292,E级达人
161551559,D级达人
16239327,0交易达人
16374808,C级达人
164469880,F级达人
16526728,0交易达人
165894284,本月新增达人
16622351,D级达人
167193842,E级达人
169957784,0交易达人
170847937,0交易达人
171956135,E级达人
17197209,A级达人
172620575,本月新增达人
173154339,0交易达人
173632211,本月新增达人
174284611,本月新增达人
174739467,本月新增达人
174910666,本月新增达人
175150744,本月新增达人
175469611,本月新增达人
175571877,本月新增达人
175762795,本月新增达人
18322340,D级达人
18497217,F级达人
18599660,0交易达人
18919307,C级达人
18998272,C级达人
19020585,F级达人
19310770,C级达人
19523104,F级达人
19586843,B级达人
22371091,0交易达人
22456768,0交易达人
24710930,F级达人
25063138,F级达人
25337311,A级达人
26048586,A级达人
26714299,F级达人
26847613,本月新增达人
27206020,F级达人
27211167,F级达人
27822496,A级达人
27896546,F级达人
28736654,F级达人
29735032,F级达人
29827265,0交易达人
30215214,F级达人
30899130,C级达人
33078221,F级达人
34611482,F级达人
34845162,本月新增达人
36445959,E级达人
36629335,E级达人
36822990,B级达人
3690458,F级达人
37159060,F级达人
37335603,E级达人
37717544,0交易达人
38486604,F级达人
38489477,B级达人
38556197,0交易达人
38585919,F级达人
39276055,0交易达人
39491571,A级达人
40296162,C级达人
40297752,0交易达人
42083135,F级达人
42753688,0交易达人
43105345,F级达人
43530912,E级达人
44602342,E级达人
44958721,F级达人
45300288,A级达人
45927170,F级达人
47025229,C级达人
47026907,E级达人
47171452,F级达人
4735782,E级达人
47408960,C级达人
48351867,F级达人
49487190,E级达人
49792202,本月新增达人
4984516,S级达人
50275802,D级达人
50383723,F级达人
50743919,F级达人
51136922,C级达人
5114735,C级达人
51811194,E级达人
52327029,E级达人
5280557,B级达人
53391426,F级达人
53612731,0交易达人
55092212,0交易达人
55356579,F级达人
5621373,0交易达人
5734360,E级达人
57960612,F级达人
58221309,F级达人
59024051,F级达人
6016243,F级达人
6053220,F级达人
6065814,F级达人
6585724,F级达人
6654001,0交易达人
68371888,F级达人
68514916,F级达人
6862607,0交易达人
68675803,F级达人
68939977,F级达人
69737431,F级达人
72746685,F级达人
72904030,F级达人
72910310,F级达人
72952785,F级达人
73356579,E级达人
74011938,0交易达人
74161335,F级达人
77779013,F级达人
77911653,F级达人
8236490,E级达人
84561416,F级达人
8546541,F级达人
85878583,F级达人
86483033,F级达人
87343755,C级达人
87387838,0交易达人
88388205,F级达人
90872498,0交易达人
91292753,C级达人
91978212,F级达人
9354591,F级达人
9692145,B级达人
102286921,F级达人
105122046,E级达人
107483860,F级达人
108330614,0交易达人
109746817,0交易达人
110367303,0交易达人
112390878,F级达人
112578497,0交易达人
114503555,E级达人
114927934,C级达人
115092135,F级达人
11916544,本月新增达人
119372020,F级达人
119719995,F级达人
119976010,E级达人
120152002,0交易达人
121253702,F级达人
122620206,A级达人
124753827,0交易达人
125131530,C级达人
125267030,F级达人
125689356,F级达人
12699545,D级达人
12718704,A级达人
12881859,本月新增达人
128824952,F级达人
129935912,D级达人
130382908,0交易达人
130959158,F级达人
13118241,A级达人
133520798,F级达人
135917085,0交易达人
137125246,F级达人
142522354,F级达人
142809279,F级达人
142883173,A级达人
143000536,0交易达人
14311158,S级达人
143767171,0交易达人
143960918,0交易达人
144986409,F级达人
145370007,C级达人
150828365,F级达人
151225044,0交易达人
15139367,C级达人
152641404,E级达人
153317291,F级达人
154089631,F级达人
15566241,F级达人
155665538,E级达人
15832989,F级达人
15843396,F级达人
164046618,F级达人
164395290,0交易达人
165368123,0交易达人
165707585,F级达人
166943138,F级达人
16843847,F级达人
16888849,E级达人
169213232,F级达人
16940250,B级达人
17106496,0交易达人
171959341,F级达人
17266894,F级达人
17278699,D级达人
172853211,F级达人
173013106,0交易达人
173014784,0交易达人
173995486,0交易达人
175161226,本月新增达人
17526141,C级达人
175516431,本月新增达人
175569811,本月新增达人
175625458,本月新增达人
175777010,本月新增达人
175928136,本月新增达人
176073057,本月新增达人
176107523,本月新增达人
176262883,本月新增达人
176293824,本月新增达人
176418158,本月新增达人
17950687,C级达人
18141331,E级达人
18500392,F级达人
19332613,A级达人
19822151,E级达人
20060430,C级达人
20224377,C级达人
21602622,F级达人
21668269,本月新增达人
23354224,0交易达人
23935199,F级达人
24771006,F级达人
25266503,D级达人
25596061,F级达人
25698093,F级达人
26409125,本月新增达人
26965632,0交易达人
27647583,C级达人
27860117,E级达人
28062408,F级达人
28604799,F级达人
30600854,A级达人
31287200,D级达人
31300146,F级达人
32077242,0交易达人
32919422,0交易达人
34619827,C级达人
36439729,本月新增达人
3690765,F级达人
36913976,F级达人
38078145,B级达人
38675659,F级达人
39670303,F级达人
39672105,F级达人
40356778,F级达人
41393953,0交易达人
41518969,D级达人
42112333,0交易达人
42736645,C级达人
42992698,0交易达人
44009418,D级达人
44769350,0交易达人
45210852,0交易达人
45893226,D级达人
46207248,E级达人
46488279,C级达人
46978181,F级达人
48484655,F级达人
49217989,A级达人
4954789,E级达人
50563582,F级达人
51216188,F级达人
52348331,C级达人
5386233,F级达人
53949985,本月新增达人
54585585,C级达人
54999195,E级达人
55011056,E级达人
55141571,A级达人
5799955,S级达人
58509025,0交易达人
6337882,0交易达人
63822950,F级达人
65621147,S级达人
66890184,E级达人
67645128,F级达人
67724834,F级达人
6844754,F级达人
68917476,C级达人
69409628,D级达人
6977674,A级达人
6989328,C级达人
7336359,B级达人
7395599,F级达人
7407043,0交易达人
7411304,F级达人
74545621,F级达人
7528205,A级达人
76131166,0交易达人
77861966,F级达人
77972984,E级达人
78118671,F级达人
7838134,F级达人
7915480,F级达人
79497104,D级达人
84913711,E级达人
8544317,F级达人
86373923,0交易达人
8925192,C级达人
91293816,E级达人
9190505,0交易达人
94198521,E级达人
95320365,D级达人
96240956,D级达人
10248183,F级达人
102601538,E级达人
107309020,F级达人
108347410,0交易达人
109481781,0交易达人
113305233,0交易达人
115344731,F级达人
117260178,F级达人
118319089,F级达人
118816668,D级达人
118995805,E级达人
12150462,C级达人
121849228,F级达人
12326414,E级达人
124466110,F级达人
124969581,F级达人
126392871,F级达人
128406353,B级达人
129877930,F级达人
13285496,C级达人
135434066,F级达人
13632822,F级达人
136474932,E级达人
137004761,0交易达人
137718960,F级达人
137730131,F级达人
14436215,D级达人
14495986,本月新增达人
145021072,B级达人
145201118,F级达人
14592448,E级达人
14929403,C级达人
15168696,A级达人
151860780,0交易达人
151968649,0交易达人
154266884,0交易达人
15460743,0交易达人
15461362,0交易达人
15534613,F级达人
157916495,F级达人
15878225,0交易达人
159141581,D级达人
16310338,F级达人
163301796,E级达人
163734705,E级达人
164840097,F级达人
166089814,本月新增达人
16695923,C级达人
166977051,E级达人
167260008,F级达人
167726773,本月新增达人
168513717,F级达人
17046843,本月新增达人
170812915,0交易达人
172513170,C级达人
174336245,本月新增达人
175297973,本月新增达人
175457738,本月新增达人
175685099,本月新增达人
175849403,本月新增达人
18733411,本月新增达人
18839502,0交易达人
19805819,C级达人
20846744,E级达人
21279726,A级达人
22381833,本月新增达人
23163839,F级达人
23612025,B级达人
23964697,F级达人
24166027,0交易达人
24683376,F级达人
25036018,C级达人
25501388,E级达人
25602076,F级达人
25654548,B级达人
28051688,0交易达人
29528849,E级达人
29697498,F级达人
30126911,F级达人
30377869,F级达人
30683795,F级达人
32192444,F级达人
32322591,F级达人
32828294,D级达人
33515189,S级达人
33680169,F级达人
35009380,F级达人
36805509,B级达人
37840579,D级达人
38175346,F级达人
38766922,F级达人
39516746,0交易达人
40393144,F级达人
40447499,F级达人
41040036,0交易达人
41816160,C级达人
41884404,C级达人
42030275,F级达人
44242553,A级达人
44528354,0交易达人
46141786,C级达人
47304153,F级达人
48119333,本月新增达人
48229211,F级达人
48563220,C级达人
48700383,A级达人
48831258,F级达人
48893931,0交易达人
49001783,0交易达人
49777357,F级达人
5009120,F级达人
50277403,C级达人
50544439,F级达人
5137992,F级达人
51545884,E级达人
51896863,本月新增达人
5287282,E级达人
53432221,D级达人
53549838,F级达人
54041907,0交易达人
54187519,E级达人
54668632,D级达人
56082724,C级达人
56399409,F级达人
56720620,本月新增达人
56863592,C级达人
57656044,C级达人
5879436,A级达人
59905684,F级达人
60659650,E级达人
6390107,C级达人
64358831,F级达人
6496481,F级达人
6528701,F级达人
65362189,E级达人
67068380,F级达人
6760970,0交易达人
67856706,C级达人
68702441,F级达人
69316183,F级达人
69955992,E级达人
70653948,F级达人
7124717,E级达人
